Date,Adj Close,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2026-02-13,305.50494384765625,305.7200012207031,308.6300048828125,303.7099914550781,307.7300109863281,38499700
2026-02-17,301.8075256347656,302.0199890136719,304.44000244140625,296.25,300.0400085449219,39247600
2026-02-18,303.1166076660156,303.3299865722656,305.3800048828125,301.25,302.0899963378906,28482100
2026-02-19,302.636962890625,302.8500061035156,305.4700012207031,300.0400085449219,301.82000732421875,25834400
2026-02-20,314.7584228515625,314.9800109863281,316.5,303.8999938964844,304.32000732421875,53210800
2026-02-23,311.2708740234375,311.489990234375,319.5199890136719,309.8699951171875,319.04998779296875,31423000
2026-02-24,310.6813049316406,310.8999938964844,312.2699890136719,305.92999267578125,310.5199890136719,25615600
2026-02-25,312.67987060546875,312.8999938964844,313.6400146484375,309.44000244140625,312.05999755859375,29963600
2026-02-26,307.1637878417969,307.3800048828125,313.1400146484375,302.3500061035156,312.6400146484375,36431200
2026-02-27,311.54071044921875,311.760009765625,312.3699951171875,303.79998779296875,304.1400146484375,44640600
2026-03-02,306.3043518066406,306.5199890136719,308.489990234375,301.29998779296875,303.2300109863281,34790200
2026-03-03,303.3664245605469,303.5799865722656,303.94000244140625,296.7099914550781,298.5899963378906,35497000
2026-03-04,302.9167785644531,303.1300048828125,305.4700012207031,300.75,302.8900146484375,29536200
2026-03-05,300.6683349609375,300.8800048828125,303.29998779296875,297.989990234375,303.0400085449219,35752300
2026-03-06,298.30999755859375,298.5199890136719,300.5299987792969,295.17999267578125,296.0899963378906,25576900
2026-03-09,306.3599853515625,306.3599853515625,306.79998779296875,294.0799865722656,294.3599853515625,29312100
2026-03-10,307.0400085449219,307.0400085449219,309.510009765625,305.57000732421875,306.1700134277344,23239700
2026-03-11,308.70001220703125,308.70001220703125,311.4200134277344,305.9200134277344,306.75,24125700
2026-03-12,303.54998779296875,303.54998779296875,308.94000244140625,301.0299987792969,306.82000732421875,24928300
2026-03-13,302.2799987792969,302.2799987792969,307.69000244140625,300.44000244140625,307.010009765625,23693100
2026-03-16,305.55999755859375,305.55999755859375,306.489990234375,303.0199890136719,304.3500061035156,23519700
2026-03-17,310.9200134277344,310.9200134277344,311.4200134277344,305.5,305.8599853515625,21955200
2026-03-18,307.69000244140625,307.69000244140625,312.4700012207031,306.92999267578125,309.2699890136719,20009800
2026-03-19,307.1300048828125,307.1300048828125,308.05999755859375,302.3500061035156,304.010009765625,25075800
2026-03-20,301.0,301.0,306.0,298.2699890136719,305.4599914550781,44364100
2026-03-23,302.05999755859375,302.05999755859375,305.9800109863281,300.92999267578125,302.1099853515625,29326900
2026-03-24,290.44000244140625,290.44000244140625,299.9200134277344,290.3299865722656,299.20001220703125,36864300
2026-03-25,290.92999267578125,290.92999267578125,296.0,289.239990234375,293.44000244140625,29460700
2026-03-26,280.9200134277344,280.9200134277344,287.95001220703125,278.5,287.9100036621094,39080600
2026-03-27,274.3399963378906,274.3399963378906,279.3699951171875,273.95001220703125,277.2799987792969,35890600
2026-03-30,273.5,273.5,277.0899963378906,272.1099853515625,276.4200134277344,35141200
2026-03-31,287.55999755859375,287.55999755859375,288.0799865722656,277.0899963378906,278.0400085449219,43875400
2026-04-01,297.3900146484375,297.3900146484375,300.5199890136719,290.4100036621094,290.8399963378906,37643200
