Date,Adj Close,Close,High,Low,Open,Volume
,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO
2026-02-19,333.29083251953125,333.989990234375,338.44000244140625,329.67999267578125,333.010009765625,15180900
2026-02-20,331.9536437988281,332.6499938964844,340.1099853515625,329.5799865722656,332.3599853515625,17658900
2026-02-23,329.64849853515625,330.3399963378906,338.5,325.32000732421875,332.25,16472400
2026-02-24,324.8086242675781,325.489990234375,328.30999755859375,314.45001220703125,322.5400085449219,23614400
2026-02-25,331.6143798828125,332.30999755859375,335.9100036621094,329.2799987792969,330.739990234375,20182300
2026-02-26,321.0265808105469,321.70001220703125,326.5799865722656,307.92999267578125,326.5,33025300
2026-02-27,318.8810729980469,319.54998779296875,320.0,310.0,310.70001220703125,28004200
2026-03-02,318.1526184082031,318.82000732421875,320.0400085449219,307.20001220703125,309.3599853515625,20567200
2026-03-03,313.18304443359375,313.8399963378906,315.8800048828125,307.3999938964844,313.0,20826200
2026-03-04,316.86529541015625,317.5299987792969,322.6400146484375,311.739990234375,315.67999267578125,34895800
2026-03-05,332.0733947753906,332.7699890136719,336.1199951171875,323.0299987792969,330.17999267578125,57076600
2026-03-06,329.7882080078125,330.4800109863281,343.510009765625,327.3999938964844,328.2799987792969,39152200
2026-03-09,345.0262451171875,345.75,348.489990234375,323.6099853515625,327.25,40605800
2026-03-10,341.86285400390625,342.5799865722656,353.1400146484375,340.79998779296875,348.7300109863281,29531700
2026-03-11,340.85498046875,341.57000732421875,345.80999755859375,338.2200012207031,342.5899963378906,20104100
2026-03-12,335.2667236328125,335.9700012207031,339.8299865722656,332.20001220703125,337.739990234375,21982700
2026-03-13,321.4856262207031,322.1600036621094,338.32000732421875,321.42999267578125,337.67999267578125,34725000
2026-03-16,324.2398681640625,324.9200134277344,329.20001220703125,320.05999755859375,326.0199890136719,31363100
2026-03-17,320.63739013671875,321.30999755859375,327.44000244140625,317.25,325.760009765625,38026500
2026-03-18,315.2686462402344,315.92999267578125,325.44000244140625,315.54998779296875,320.42999267578125,25460600
2026-03-19,319.17047119140625,319.8399963378906,323.2699890136719,308.510009765625,312.4700012207031,23524800
2026-03-20,309.8600158691406,310.510009765625,321.510009765625,309.9200134277344,320.1199951171875,43325900
2026-03-23,322.510009765625,322.510009765625,326.4800109863281,314.92999267578125,318.0,27369200
2026-03-24,318.2900085449219,318.2900085449219,324.3999938964844,314.8399963378906,320.0,19799000
2026-03-25,318.80999755859375,318.80999755859375,324.29998779296875,316.7200012207031,322.5899963378906,19900000
2026-03-26,309.4200134277344,309.4200134277344,316.9200134277344,309.1700134277344,314.0199890136719,20343700
2026-03-27,300.67999267578125,300.67999267578125,307.5,298.8699951171875,307.05999755859375,23593900
2026-03-30,293.4100036621094,293.4100036621094,304.7699890136719,289.9599914550781,300.8699951171875,28054500
2026-03-31,309.510009765625,309.510009765625,310.30999755859375,296.3399963378906,299.3900146484375,29289500
2026-04-01,313.489990234375,313.489990234375,315.7900085449219,310.4800109863281,313.3699951171875,19148100
